"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"*СЕлК Лб 257 *СЕлК (КН-09)-1","22.03.2013","14:55:00","22.03.2013","16:30:00","Ложь","Истина","22.03.2013","14:50:00","2","Обычная","*СЕлК Лб 257 *СЕлК (КН-09)-1","Обычный"
"*Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лб 257 *ТВВ(КН-09-)-1","29.03.2013","14:55:00","29.03.2013","16:30:00","Ложь","Истина","29.03.2013","14:50:00","2","Обычная","*Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лб 257 *ТВВ(КН-09-)-1","Обычный"
"СРШІн ЕкзУ 255 КНи-09-4;КН-09-4","05.04.2013","14:55:00","05.04.2013","16:30:00","Ложь","Истина","05.04.2013","14:50:00","2","Обычная","СРШІн ЕкзУ 255 КНи-09-4;КН-09-4","Обычный"
"*КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лк 258 *ТВВ(КН-09-)-1","08.02.2013","16:40:00","08.02.2013","18:15:00","Ложь","Истина","08.02.2013","16:35:00","2","Обычная","*КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лк 258 *ТВВ(КН-09-)-1","Обычный"
"*КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лк 258 *ТВВ(КН-09-)-1","15.02.2013","16:40:00","15.02.2013","18:15:00","Ложь","Истина","15.02.2013","16:35:00","2","Обычная","*КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лк 258 *ТВВ(КН-09-)-1","Обычный"
"*КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лк 258 *ТВВ(КН-09-)-1","22.02.2013","16:40:00","22.02.2013","18:15:00","Ложь","Истина","22.02.2013","16:35:00","2","Обычная","*КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лк 258 *ТВВ(КН-09-)-1","Обычный"
"*КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лб 257 *ТВВ(КН-09-)-1","01.03.2013","16:40:00","01.03.2013","18:15:00","Ложь","Истина","01.03.2013","16:35:00","2","Обычная","*КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1; *Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лб 257 *ТВВ(КН-09-)-1","Обычный"
"*СЕлК Лб 257 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","15.03.2013","16:40:00","15.03.2013","18:15:00","Ложь","Истина","15.03.2013","16:35:00","2","Обычная","*СЕлК Лб 257 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"*СЕлК Лб 257 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","22.03.2013","16:40:00","22.03.2013","18:15:00","Ложь","Истина","22.03.2013","16:35:00","2","Обычная","*СЕлК Лб 257 *СЕлК (КН-09)-1; *КП і Web 2.0 (WIKI) Лк 334 *КПWeb(КНи-09-)-1","Обычный"
"*Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лб 257 *ТВВ(КН-09-)-1","29.03.2013","16:40:00","29.03.2013","18:15:00","Ложь","Истина","29.03.2013","16:35:00","2","Обычная","*Технологіі віддаленоі взаємодіі об"єктів (.NET Re Лб 257 *ТВВ(КН-09-)-1","Обычный"
"СРШІн Лк 334 КНи-09-4;КН-09-3,4","16.02.2013","11:15:00","16.02.2013","12:50:00","Ложь","Истина","16.02.2013","11:10:00","2","Обычная","СРШІн Лк 334 КНи-09-4;КН-09-3,4","Обычный"
"СРШІн Лк 334 КНи-09-4;КН-09-3,4","16.02.2013","13:10:00","16.02.2013","14:45:00","Ложь","Истина","16.02.2013","13:05:00","2","Обычная","СРШІн Лк 334 КНи-09-4;КН-09-3,4","Обычный"
